"filename" "ftime" "timetext" "winddir" "windspeed" "gust10m" 0
"10Apr2001_02.tab" 10/4/2001 07:00:00 "10/06" "NE" 14 1
"10Apr2001_02.tab" 10/4/2001 10:00:00 "10/09" "NE" 18 1
"10Apr2001_02.tab" 10/4/2001 13:00:00 "10/12" "NE" 20 1
"10Apr2001_02.tab" 10/4/2001 16:00:00 "10/15" "NE" 20 1
"10Apr2001_02.tab" 10/4/2001 19:00:00 "10/18" "NNE" 20 1
"10Apr2001_02.tab" 10/4/2001 22:00:00 "10/21" "NNE" 20 1
"10Apr2001_02.tab" 11/4/2001 01:00:00 "11/00" "NNE" 20 1
"10Apr2001_02.tab" 11/4/2001 04:00:00 "11/03" "N" 20 1
"10Apr2001_02.tab" 11/4/2001 07:00:00 "11/06" "N" 18 1
"10Apr2001_02.tab" 11/4/2001 10:00:00 "11/09" "NNW" 14 1
"10Apr2001_02.tab" 11/4/2001 13:00:00 "11/12" "NW" 12 1
"10Apr2001_02.tab" 11/4/2001 16:00:00 "11/15" "NW" 10 1
"10Apr2001_02.tab" 11/4/2001 19:00:00 "11/18" "NNW" 12 1
"10Apr2001_02.tab" 11/4/2001 22:00:00 "11/21" "N" 16 1
"10Apr2001_02.tab" 12/4/2001 01:00:00 "12/00" "NNE" 22 1
"10Apr2001_02.tab" 12/4/2001 04:00:00 "12/03" "NNE" 24 1
"10Apr2001_02.tab" 12/4/2001 07:00:00 "12/06" "NNE" 22 1
"10Apr2001_02.tab" 12/4/2001 10:00:00 "12/09" "NNE" 20 1
"10Apr2001_02.tab" 12/4/2001 13:00:00 "12/12" "NNE" 20 1
"10Apr2001_02.tab" 12/4/2001 16:00:00 "12/15" "NNE" 18 1
"10Apr2001_02.tab" 12/4/2001 19:00:00 "12/18" "NE" 16 1
"10Apr2001_02.tab" 12/4/2001 22:00:00 "12/21" "NE" 14 1
"10Apr2001_02.tab" 13/4/2001 01:00:00 "13/00" "NE" 12 1
"10Apr2001_14.tab" 10/4/2001 19:00:00 "10/18" "NNE" 20 0
"10Apr2001_14.tab" 10/4/2001 22:00:00 "10/21" "NNE" 22 0
"10Apr2001_14.tab" 11/4/2001 01:00:00 "11/00" "N" 21 0
"10Apr2001_14.tab" 11/4/2001 04:00:00 "11/03" "N" 20 0
"10Apr2001_14.tab" 11/4/2001 07:00:00 "11/06" "N" 18 0
"10Apr2001_14.tab" 11/4/2001 10:00:00 "11/09" "N" 16 0
"10Apr2001_14.tab" 11/4/2001 13:00:00 "11/12" "N" 14 0
"10Apr2001_14.tab" 11/4/2001 16:00:00 "11/15" "NNW" 9 0
"10Apr2001_14.tab" 11/4/2001 19:00:00 "11/18" "WNW" 7 0
"10Apr2001_14.tab" 11/4/2001 22:00:00 "11/21" "WNW" 7 0
"10Apr2001_14.tab" 12/4/2001 01:00:00 "12/00" "N" 8 0
"10Apr2001_14.tab" 12/4/2001 04:00:00 "12/03" "N" 11 0
"10Apr2001_14.tab" 12/4/2001 07:00:00 "12/06" "NNE" 13 0
"10Apr2001_14.tab" 12/4/2001 10:00:00 "12/09" "NNE" 15 0
"10Apr2001_14.tab" 12/4/2001 13:00:00 "12/12" "NE" 17 0
"10Apr2001_14.tab" 12/4/2001 16:00:00 "12/15" "ENE" 16 0
"10Apr2001_14.tab" 12/4/2001 19:00:00 "12/18" "ENE" 14 0
"10Apr2001_14.tab" 12/4/2001 22:00:00 "12/21" "ENE" 11 0
"10Apr2001_14.tab" 13/4/2001 01:00:00 "13/00" "ENE" 9 0
"10Apr2001_14.tab" 13/4/2001 04:00:00 "13/03" "E" 8 0
"10Apr2001_14.tab" 13/4/2001 07:00:00 "13/06" "ESE" 8 0
"10Apr2001_14.tab" 13/4/2001 10:00:00 "13/09" "SE" 9 0
"10Apr2001_14.tab" 13/4/2001 13:00:00 "13/12" "SSE" 11 0
"10Apr2002_03.tab" 10/4/2002 07:00:00 "10/06" "SSW" 28 0
"10Apr2002_03.tab" 10/4/2002 10:00:00 "10/09" "SSW" 26 0
"10Apr2002_03.tab" 10/4/2002 13:00:00 "10/12" "SSW" 24 0
"10Apr2002_03.tab" 10/4/2002 16:00:00 "10/15" "SW" 20 0
"10Apr2002_03.tab" 10/4/2002 19:00:00 "10/18" "SW" 16 0
"10Apr2002_03.tab" 10/4/2002 22:00:00 "10/21" "SW" 12 0
"10Apr2002_03.tab" 11/4/2002 01:00:00 "11/00" "SW" 10 0
"10Apr2002_03.tab" 11/4/2002 04:00:00 "11/03" "SW" 8 0
"10Apr2002_03.tab" 11/4/2002 07:00:00 "11/06" "SSW" 8 0
"10Apr2002_03.tab" 11/4/2002 10:00:00 "11/09" "S" 8 0
"10Apr2002_03.tab" 11/4/2002 13:00:00 "11/12" "S" 10 0
"10Apr2002_03.tab" 11/4/2002 16:00:00 "11/15" "S" 14 0
"10Apr2002_03.tab" 11/4/2002 19:00:00 "11/18" "S" 16 0
"10Apr2002_03.tab" 11/4/2002 22:00:00 "11/21" "SSW" 18 0
"10Apr2002_03.tab" 12/4/2002 01:00:00 "12/00" "SW" 16 0
"10Apr2002_03.tab" 12/4/2002 04:00:00 "12/03" "W" 12 0
"10Apr2002_03.tab" 12/4/2002 07:00:00 "12/06" "NW" 18 0
"10Apr2002_03.tab" 12/4/2002 10:00:00 "12/09" "NW" 20 0
"10Apr2002_03.tab" 12/4/2002 13:00:00 "12/12" "NNW" 22 0
"10Apr2002_03.tab" 12/4/2002 16:00:00 "12/15" "N" 24 0
"10Apr2002_03.tab" 12/4/2002 19:00:00 "12/18" "N" 22 0
"10Apr2002_03.tab" 12/4/2002 22:00:00 "12/21" "N" 20 0
"10Apr2002_03.tab" 13/4/2002 01:00:00 "13/00" "N" 16 0
"10Apr2002_14.tab" 10/4/2002 19:00:00 "10/18" "SW" 18 1
"10Apr2002_14.tab" 10/4/2002 22:00:00 "10/21" "SW" 16 1
"10Apr2002_14.tab" 11/4/2002 01:00:00 "11/00" "WSW" 12 1
"10Apr2002_14.tab" 11/4/2002 04:00:00 "11/03" "SW" 11 1
"10Apr2002_14.tab" 11/4/2002 07:00:00 "11/06" "S" 10 1
"10Apr2002_14.tab" 11/4/2002 10:00:00 "11/09" "S" 10 1
