"filename" "ftime" "timetext" "winddir" "windspeed" "gust10m"
"10Apr2001_02.tab" 10/4/2001 07:00:00 "10/06" "NE" 14
"10Apr2001_02.tab" 10/4/2001 10:00:00 "10/09" "NE" 18
"10Apr2001_02.tab" 10/4/2001 13:00:00 "10/12" "NE" 20
"10Apr2001_02.tab" 10/4/2001 16:00:00 "10/15" "NE" 20
"10Apr2001_02.tab" 10/4/2001 19:00:00 "10/18" "NNE" 20
"10Apr2001_02.tab" 10/4/2001 22:00:00 "10/21" "NNE" 20
"10Apr2001_02.tab" 11/4/2001 01:00:00 "11/00" "NNE" 20
"10Apr2001_02.tab" 11/4/2001 04:00:00 "11/03" "N" 20
"10Apr2001_02.tab" 11/4/2001 07:00:00 "11/06" "N" 18
"10Apr2001_02.tab" 11/4/2001 10:00:00 "11/09" "NNW" 14
"10Apr2001_02.tab" 11/4/2001 13:00:00 "11/12" "NW" 12
"10Apr2001_02.tab" 11/4/2001 16:00:00 "11/15" "NW" 10
"10Apr2001_02.tab" 11/4/2001 19:00:00 "11/18" "NNW" 12
"10Apr2001_02.tab" 11/4/2001 22:00:00 "11/21" "N" 16
"10Apr2001_02.tab" 12/4/2001 01:00:00 "12/00" "NNE" 22
"10Apr2001_02.tab" 12/4/2001 04:00:00 "12/03" "NNE" 24
"10Apr2001_02.tab" 12/4/2001 07:00:00 "12/06" "NNE" 22
"10Apr2001_02.tab" 12/4/2001 10:00:00 "12/09" "NNE" 20
"10Apr2001_02.tab" 12/4/2001 13:00:00 "12/12" "NNE" 20
"10Apr2001_02.tab" 12/4/2001 16:00:00 "12/15" "NNE" 18
"10Apr2001_02.tab" 12/4/2001 19:00:00 "12/18" "NE" 16
"10Apr2001_02.tab" 12/4/2001 22:00:00 "12/21" "NE" 14
"10Apr2001_02.tab" 13/4/2001 01:00:00 "13/00" "NE" 12
"10Apr2001_14.tab" 10/4/2001 19:00:00 "10/18" "NNE" 20
"10Apr2001_14.tab" 10/4/2001 22:00:00 "10/21" "NNE" 22
"10Apr2001_14.tab" 11/4/2001 01:00:00 "11/00" "N" 21
"10Apr2001_14.tab" 11/4/2001 04:00:00 "11/03" "N" 20
"10Apr2001_14.tab" 11/4/2001 07:00:00 "11/06" "N" 18
"10Apr2001_14.tab" 11/4/2001 10:00:00 "11/09" "N" 16
"10Apr2001_14.tab" 11/4/2001 13:00:00 "11/12" "N" 14
"10Apr2001_14.tab" 11/4/2001 16:00:00 "11/15" "NNW" 9
"10Apr2001_14.tab" 11/4/2001 19:00:00 "11/18" "WNW" 7
"10Apr2001_14.tab" 11/4/2001 22:00:00 "11/21" "WNW" 7
"10Apr2001_14.tab" 12/4/2001 01:00:00 "12/00" "N" 8
"10Apr2001_14.tab" 12/4/2001 04:00:00 "12/03" "N" 11
"10Apr2001_14.tab" 12/4/2001 07:00:00 "12/06" "NNE" 13
"10Apr2001_14.tab" 12/4/2001 10:00:00 "12/09" "NNE" 15
"10Apr2001_14.tab" 12/4/2001 13:00:00 "12/12" "NE" 17
"10Apr2001_14.tab" 12/4/2001 16:00:00 "12/15" "ENE" 16
"10Apr2001_14.tab" 12/4/2001 19:00:00 "12/18" "ENE" 14
"10Apr2001_14.tab" 12/4/2001 22:00:00 "12/21" "ENE" 11
"10Apr2001_14.tab" 13/4/2001 01:00:00 "13/00" "ENE" 9
"10Apr2001_14.tab" 13/4/2001 04:00:00 "13/03" "E" 8
"10Apr2001_14.tab" 13/4/2001 07:00:00 "13/06" "ESE" 8
"10Apr2001_14.tab" 13/4/2001 10:00:00 "13/09" "SE" 9
"10Apr2001_14.tab" 13/4/2001 13:00:00 "13/12" "SSE" 11
"10Apr2002_03.tab" 10/4/2002 07:00:00 "10/06" "SSW" 28
"10Apr2002_03.tab" 10/4/2002 10:00:00 "10/09" "SSW" 26
"10Apr2002_03.tab" 10/4/2002 13:00:00 "10/12" "SSW" 24
"10Apr2002_03.tab" 10/4/2002 16:00:00 "10/15" "SW" 20
"10Apr2002_03.tab" 10/4/2002 19:00:00 "10/18" "SW" 16
"10Apr2002_03.tab" 10/4/2002 22:00:00 "10/21" "SW" 12
"10Apr2002_03.tab" 11/4/2002 01:00:00 "11/00" "SW" 10
"10Apr2002_03.tab" 11/4/2002 04:00:00 "11/03" "SW" 8
"10Apr2002_03.tab" 11/4/2002 07:00:00 "11/06" "SSW" 8
"10Apr2002_03.tab" 11/4/2002 10:00:00 "11/09" "S" 8
"10Apr2002_03.tab" 11/4/2002 13:00:00 "11/12" "S" 10
"10Apr2002_03.tab" 11/4/2002 16:00:00 "11/15" "S" 14
"10Apr2002_03.tab" 11/4/2002 19:00:00 "11/18" "S" 16
"10Apr2002_03.tab" 11/4/2002 22:00:00 "11/21" "SSW" 18
"10Apr2002_03.tab" 12/4/2002 01:00:00 "12/00" "SW" 16
"10Apr2002_03.tab" 12/4/2002 04:00:00 "12/03" "W" 12
"10Apr2002_03.tab" 12/4/2002 07:00:00 "12/06" "NW" 18
"10Apr2002_03.tab" 12/4/2002 10:00:00 "12/09" "NW" 20
"10Apr2002_03.tab" 12/4/2002 13:00:00 "12/12" "NNW" 22
"10Apr2002_03.tab" 12/4/2002 16:00:00 "12/15" "N" 24
"10Apr2002_03.tab" 12/4/2002 19:00:00 "12/18" "N" 22
"10Apr2002_03.tab" 12/4/2002 22:00:00 "12/21" "N" 20
"10Apr2002_03.tab" 13/4/2002 01:00:00 "13/00" "N" 16
"10Apr2002_14.tab" 10/4/2002 19:00:00 "10/18" "SW" 18
"10Apr2002_14.tab" 10/4/2002 22:00:00 "10/21" "SW" 16
"10Apr2002_14.tab" 11/4/2002 01:00:00 "11/00" "WSW" 12
"10Apr2002_14.tab" 11/4/2002 04:00:00 "11/03" "SW" 11
"10Apr2002_14.tab" 11/4/2002 07:00:00 "11/06" "S" 10
"10Apr2002_14.tab" 11/4/2002 10:00:00 "11/09" "S" 10
"10Apr2002_14.tab" 11/4/2002 13:00:00 "11/12" "S" 12
"10Apr2002_14.tab" 11/4/2002 16:00:00 "11/15" "SSW" 10
"10Apr2002_14.tab" 11/4/2002 19:00:00 "11/18" "WSW" 9
"10Apr2002_14.tab" 11/4/2002 22:00:00 "11/21" "NW" 8
"10Apr2002_14.tab" 12/4/2002 01:00:00 "12/00" "NW" 14
"10Apr2002_14.tab" 12/4/2002 04:00:00 "12/03" "NNW" 14
"10Apr2002_14.tab" 12/4/2002 07:00:00 "12/06" "N" 14
"10Apr2002_14.tab" 12/4/2002 10:00:00 "12/09" "N" 14
"10Apr2002_14.tab" 12/4/2002 13:00:00 "12/12" "N" 15
"10Apr2002_14.tab" 12/4/2002 16:00:00 "12/15" "N" 14
"10Apr2002_14.tab" 12/4/2002 19:00:00 "12/18" "N" 12
"10Apr2002_14.tab" 12/4/2002 22:00:00 "12/21" "N" 10
"10Apr2002_14.tab" 13/4/2002 01:00:00 "13/00" "N" 8
"10Apr2002_14.tab" 13/4/2002 04:00:00 "13/03" "NNE" 8
"10Apr2002_14.tab" 13/4/2002 07:00:00 "13/06" "NE" 8
"10Apr2002_14.tab" 13/4/2002 10:00:00 "13/09" "NE" 8
"10Apr2002_14.tab" 13/4/2002 13:00:00 "13/12" "ENE" 7
"10Aug2000_11.tab" 10/8/2000 19:00:00 "10/18" "NE" 16
"10Aug2000_11.tab" 10/8/2000 22:00:00 "10/21" "NNE" 16
"10Aug2000_11.tab" 11/8/2000 01:00:00 "11/00" "NNE" 15
"10Aug2000_11.tab" 11/8/2000 04:00:00 "11/03" "N" 12
"10Aug2000_11.tab" 11/8/2000 07:00:00 "11/06" "N" 10
"10Aug2000_11.tab" 11/8/2000 10:00:00 "11/09" "N" 7
"10Aug2000_11.tab" 11/8/2000 13:00:00 "11/12" "NNW" 5
"10Aug2000_11.tab" 11/8/2000 16:00:00 "11/15" "NW" 3
"10Aug2000_11.tab" 11/8/2000 19:00:00 "11/18" "WNW" 2
"10Aug2000_11.tab" 11/8/2000 22:00:00 "11/21" "W" 1
"10Aug2000_11.tab" 12/8/2000 01:00:00 "12/00" "SW" 1
"10Aug2000_11.tab" 12/8/2000 04:00:00 "12/03" "SSW" 1
"10Aug2000_11.tab" 12/8/2000 07:00:00 "12/06" "S" 2
"10Aug2000_11.tab" 12/8/2000 10:00:00 "12/09" "S" 4
"10Aug2000_11.tab" 12/8/2000 13:00:00 "12/12" "S" 6
"10Aug2000_11.tab" 12/8/2000 16:00:00 "12/15" "S" 7
"10Aug2000_11.tab" 12/8/2000 19:00:00 "12/18" "S" 8
"10Aug2000_11.tab" 12/8/2000 22:00:00 "12/21" "S" 10
"10Aug2000_11.tab" 13/8/2000 01:00:00 "13/00" "S" 11
"10Aug2000_11.tab" 13/8/2000 04:00:00 "13/03" "S" 12
"10Aug2000_11.tab" 13/8/2000 07:00:00 "13/06" "S" 12
"10Aug2000_11.tab" 13/8/2000 10:00:00 "13/09" "S" 12
"10Aug2000_11.tab" 13/8/2000 13:00:00 "13/12" "SSE" 12
"10Aug2000_11.tab" 13/8/2000 16:00:00 "13/15" "SSE" 11
"10Aug2000_11.tab" 13/8/2000 19:00:00 "13/18" "SSE" 10
"10Aug2000_11.tab" 13/8/2000 22:00:00 "13/21" "SSE" 8
"10Aug2000_11.tab" 14/8/2000 01:00:00 "14/00" "SSE" 6
"10Aug2000_11.tab" 14/8/2000 04:00:00 "14/03" "SSE" 5
"10Aug2000_11.tab" 14/8/2000 07:00:00 "14/06" "SSE" 4
"10Aug2000_11.tab" 14/8/2000 10:00:00 "14/09" "SSE" 3
"10Aug2000_11.tab" 14/8/2000 13:00:00 "14/12" "S" 2
"10Aug2000_11.tab" 14/8/2000 16:00:00 "14/15" "S" 2
"10Aug2000_11.tab" 14/8/2000 19:00:00 "14/18" "SSE" 3
"10Aug2000_11.tab" 14/8/2000 22:00:00 "14/21" "SE" 4
"10Aug2000_11.tab" 15/8/2000 01:00:00 "15/00" "ESE" 6
